image_name,label
0.jpg,Cat
1.jpg,Cat
2.jpg,Dog
3.jpg,Cat
4.jpg,Cat
5.jpg,Dog
6.jpg,Cat
7.jpg,Dog
8.jpg,Cat
9.jpg,Cat
10.jpg,Cat
11.jpg,Cat
12.jpg,Cat
13.jpg,Cat
14.jpg,Cat
15.jpg,Cat
16.jpg,Cat
17.jpg,Cat
18.jpg,Cat
19.jpg,Cat
20.jpg,Cat
21.jpg,Cat
22.jpg,Dog
23.jpg,Cat
24.jpg,Cat
25.jpg,Cat
26.jpg,Cat
27.jpg,Cat
28.jpg,Cat
29.jpg,Dog
30.jpg,Cat
31.jpg,Cat
32.jpg,Cat
33.jpg,Cat
34.jpg,Cat
35.jpg,Cat
36.jpg,Cat
37.jpg,Cat
38.jpg,Cat
39.jpg,Cat
40.jpg,Cat
41.jpg,Cat
42.jpg,Cat
43.jpg,Cat
44.jpg,Cat
45.jpg,Cat
46.jpg,Cat
47.jpg,Cat
48.jpg,Cat
49.jpg,Cat
50.jpg,Cat
51.jpg,Cat
52.jpg,Cat
53.jpg,Cat
54.jpg,Cat
55.jpg,Dog
56.jpg,Cat
57.jpg,Cat
58.jpg,Dog
59.jpg,Cat
60.jpg,Dog
61.jpg,Cat
62.jpg,Cat
63.jpg,Cat
64.jpg,Cat
65.jpg,Cat
66.jpg,Cat
67.jpg,Cat
68.jpg,Cat
69.jpg,Cat
70.jpg,Cat
71.jpg,Cat
72.jpg,Cat
73.jpg,Cat
74.jpg,Cat
75.jpg,Cat
76.jpg,Cat
77.jpg,Cat
78.jpg,Cat
79.jpg,Dog
80.jpg,Cat
81.jpg,Cat
82.jpg,Cat
83.jpg,Cat
84.jpg,Cat
85.jpg,Cat
86.jpg,Cat
87.jpg,Cat
88.jpg,Cat
89.jpg,Dog
90.jpg,Cat
91.jpg,Cat
92.jpg,Cat
93.jpg,Cat
94.jpg,Cat
95.jpg,Cat
96.jpg,Cat
97.jpg,Cat
98.jpg,Cat
99.jpg,Cat
